Nombre,FechaInicio,Nivel,duracion,Formato,Instructor,Informatica,Bases_de_datos,Sistemas_Operativos,Programacion,Linux,Machine_Learning,Cloud,Ciberseguridad,Desarrollo_Web,Redes,Inteligencia_Artificial,Big_Data,Desarrollo_Móvil,Descripcion
Inglés A2,16/09/2025,Principiante,6 semanas,Presencial,Pedro Sánchez,No,No,No,No,No,No,No,No,No,No,No,No,No,"Curso de nivel básico para adquirir habilidades fundamentales en inglés. El alumno practicará comprensión y expresión oral y escrita en situaciones cotidianas sencillas. Al final, estará preparado para rendir el examen oficial de nivel A2 (Cambridge Linguaskill)."
Inglés B1,13/05/2025,Medio,10 semanas,Presencial,María Rodríguez,No,No,No,No,No,No,No,No,No,No,No,No,No,"Curso de inglés de nivel intermedio enfocado en mejorar la fluidez y precisión. Se cubren conversaciones habituales, lectura y redacción de textos de dificultad media. Al terminar, el estudiante podrá comunicarse con confianza en inglés y podrá presentarse a exámenes oficiales de nivel B1."
Inglés B2,30/04/2025,Avanzado,10 semanas,Presencial,Ana Gómez,No,No,No,No,No,No,No,No,No,No,No,No,No,"Curso de inglés de nivel intermedio-alto dirigido a alcanzar un dominio avanzado del idioma. Incluye práctica intensiva de conversación, comprensión de textos complejos y escritura formal. Al finalizar, el alumno podrá comunicarse de manera eficaz en contextos profesionales y académicos y estará preparado para exámenes oficiales de nivel B2."
Ofimática,07/05/2025,Medio,8 semanas,Presencial,Laura Martínez,Sí,No,No,No,No,No,No,No,No,No,No,No,No,"Curso integral de ofimática que abarca las herramientas esenciales de Microsoft Office (Word, Excel, PowerPoint) y aplicaciones de productividad. El participante aprenderá a crear documentos, hojas de cálculo y presentaciones profesionales, gestionando datos y automatizando tareas básicas. Al concluir, estará capacitado para desenvolverse con soltura en entornos de oficina digitales."
Excel avanzado y Power BI,24/04/2025,Medio,6 semanas,Presencial,Elena Sánchez,No,No,No,No,No,No,No,No,No,No,No,No,No,"Curso especializado en análisis de datos con Excel y Power BI. Se profundiza en funciones avanzadas de Excel, tablas dinámicas y automatización, además de la creación de paneles interactivos con Microsoft Power BI. El alumno desarrollará competencias para gestionar grandes volúmenes de datos y extraer información relevante para la toma de decisiones."
Mejora tu productividad con inteligencia artificial,18/06/2025,Medio,4 semanas,Presencial,Patricia Díaz,No,No,No,No,No,No,No,No,No,No,Sí,No,No,"Curso práctico enfocado en utilizar herramientas de inteligencia artificial para optimizar tareas cotidianas y procesos empresariales. Se explorarán aplicaciones de IA generativa, asistentes virtuales y automatización inteligente para aumentar la eficiencia en el trabajo. Al finalizar, el estudiante conocerá las últimas tecnologías de IA aplicables a la productividad personal y laboral."
Ingeniero Google Cloud Platform,23/09/2025,Avanzado,8 semanas,Presencial,Carlos López,No,No,No,No,No,No,Sí,No,No,No,No,No,No,"Formación completa para convertirse en ingeniero de Google Cloud Platform. El curso abarca el diseño, despliegue y administración de infraestructuras en la nube de Google, incluyendo cómputo, almacenamiento y redes. Al finalizar, el alumno podrá implementar soluciones escalables en GCP y estará preparado para certificaciones profesionales de Google Cloud."
Ingeniero de datos Google Cloud Platform,08/04/2025,Avanzado,6 semanas,Presencial,Mauro Pazienza,No,No,No,No,No,No,Sí,No,No,No,No,Sí,No,"Curso orientado a la ingeniería de datos en Google Cloud. Se enseñan métodos de ingestión, transformación y análisis de grandes volúmenes de datos usando herramientas como BigQuery, Dataflow y Pub/Sub. El participante aprenderá a construir canalizaciones de datos eficientes en la nube y a aplicar técnicas de Big Data para obtener insights empresariales."
Ingeniero de Machine Learning IA Google Cloud Platform,02/07/2025,Avanzado,7 semanas,Presencial,Mauro Pazienza,No,No,No,No,No,Sí,Sí,No,No,No,Sí,No,No,"Programa avanzado centrado en el desarrollo de soluciones de inteligencia artificial en Google Cloud. El curso cubre la creación, entrenamiento y despliegue de modelos de machine learning utilizando servicios de Google (AI Platform, TensorFlow). Al terminar, el estudiante podrá diseñar sistemas de IA escalables en GCP, resolviendo problemas complejos con aprendizaje automático."
Programador Java SE Profesional en Cloud,23/09/2025,Avanzado,10 semanas,Presencial,Carlos López,No,No,No,Sí,No,No,Sí,No,No,No,No,No,No,"Curso dedicado a la programación en Java Standard Edition enfocado al entorno cloud. Se repasan conceptos avanzados de Java y se aplican a la creación de aplicaciones empresariales preparadas para la nube. El alumno aprenderá a desarrollar, depurar y desplegar código Java en plataformas cloud, optimizando el rendimiento y la seguridad."
